lon,lat,depth
-174.99791666666667,64.99791666666667,550.0
-174.83125,64.99791666666667,388.0
-174.66458333333333,64.99791666666667,186.0
-174.49791666666667,64.99791666666667,636.0
-174.33125,64.99791666666667,118.0
-174.16458333333333,64.99791666666667,292.0
-173.99791666666667,64.99791666666667,266.0
-173.83125,64.99791666666667,301.0
-173.66458333333333,64.99791666666667,246.0
-173.49791666666667,64.99791666666667,474.0
-173.33125,64.99791666666667,507.0
-173.16458333333333,64.99791666666667,572.0
-172.99791666666667,64.99791666666667,594.0
-172.83125,64.99791666666667,528.0
-172.66458333333333,64.99791666666667,58.0
-172.49791666666667,64.99791666666667,368.0
-172.33125,64.99791666666667,90.0
-172.16458333333333,64.99791666666667,-22.0
-171.99791666666667,64.99791666666667,-44.0
-171.83125,64.99791666666667,-57.0
-171.66458333333333,64.99791666666667,-42.0
-171.49791666666667,64.99791666666667,-28.0
-171.33125,64.99791666666667,-43.0
-171.16458333333333,64.99791666666667,-44.0
-170.99791666666667,64.99791666666667,-44.0
-170.83125,64.99791666666667,-44.0
-170.66458333333333,64.99791666666667,-44.0
-170.49791666666667,64.99791666666667,-45.0
-170.33125,64.99791666666667,-46.0
-170.16458333333333,64.99791666666667,-46.0
-169.99791666666667,64.99791666666667,-47.0
-169.83125,64.99791666666667,-53.0
-169.66458333333333,64.99791666666667,-51.0
-169.49791666666667,64.99791666666667,-49.0
-169.33125,64.99791666666667,-48.0
-169.16458333333333,64.99791666666667,-48.0
-168.99791666666667,64.99791666666667,-49.0
-168.83125,64.99791666666667,-46.0
-168.66458333333333,64.99791666666667,-46.0
-168.49791666666667,64.99791666666667,-47.0
-168.33125,64.99791666666667,-44.0
-168.16458333333333,64.99791666666667,-44.0
-167.99791666666667,64.99791666666667,-42.0
-167.83125,64.99791666666667,-45.0
-167.66458333333333,64.99791666666667,-35.0
-167.49791666666667,64.99791666666667,-26.0
-167.33125,64.99791666666667,-19.0
-167.16458333333333,64.99791666666667,-18.0
-166.99791666666667,64.99791666666667,-12.0
-166.83125,64.99791666666667,-9.0
-166.66458333333333,64.99791666666667,12.0
-166.49791666666667,64.99791666666667,91.0
-166.33125,64.99791666666667,220.0
-166.16458333333333,64.99791666666667,83.0
-165.99791666666667,64.99791666666667,194.0
-165.83125,64.99791666666667,450.0
-165.66458333333333,64.99791666666667,647.0
-165.49791666666667,64.99791666666667,114.0
-165.33125,64.99791666666667,1151.0
-165.16458333333333,64.99791666666667,379.0
-164.99791666666667,64.99791666666667,474.0
-164.83125,64.99791666666667,511.0
-164.66458333333333,64.99791666666667,266.0
-164.49791666666667,64.99791666666667,95.0
-164.33125,64.99791666666667,78.0
-164.16458333333333,64.99791666666667,60.0
-163.99791666666667,64.99791666666667,183.0
-163.83125,64.99791666666667,269.0
-163.66458333333333,64.99791666666667,80.0
-163.49791666666667,64.99791666666667,133.0
-163.33125,64.99791666666667,118.0
-163.16458333333333,64.99791666666667,36.0
-162.99791666666667,64.99791666666667,39.0
-162.83125,64.99791666666667,54.0
-162.66458333333333,64.99791666666667,204.0
-162.49791666666667,64.99791666666667,268.0
-162.33125,64.99791666666667,674.0
-162.16458333333333,64.99791666666667,240.0
-161.99791666666667,64.99791666666667,177.0
-161.83125,64.99791666666667,88.0
-161.66458333333333,64.99791666666667,49.0
-161.49791666666667,64.99791666666667,111.0
-161.33125,64.99791666666667,50.0
-161.16458333333333,64.99791666666667,184.0
-160.99791666666667,64.99791666666667,36.0
-160.83125,64.99791666666667,38.0
-160.66458333333333,64.99791666666667,152.0
-160.49791666666667,64.99791666666667,108.0
-160.33125,64.99791666666667,144.0
-160.16458333333333,64.99791666666667,467.0
-159.99791666666667,64.99791666666667,458.0
-159.83125,64.99791666666667,463.0
-159.66458333333333,64.99791666666667,328.0
-159.49791666666667,64.99791666666667,562.0
-159.33125,64.99791666666667,602.0
-159.16458333333333,64.99791666666667,366.0
-158.99791666666667,64.99791666666667,586.0
-158.83125,64.99791666666667,237.0
-158.66458333333333,64.99791666666667,434.0
-158.49791666666667,64.99791666666667,293.0
-158.33125,64.99791666666667,577.0
-158.16458333333333,64.99791666666667,342.0
-157.99791666666667,64.99791666666667,225.0
-157.83125,64.99791666666667,95.0
-157.66458333333333,64.99791666666667,95.0
-157.49791666666667,64.99791666666667,37.0
-157.33125,64.99791666666667,38.0
-157.16458333333333,64.99791666666667,41.0
-156.99791666666667,64.99791666666667,39.0
-156.83125,64.99791666666667,75.0
-156.66458333333333,64.99791666666667,145.0
-156.49791666666667,64.99791666666667,212.0
-156.33125,64.99791666666667,151.0
-156.16458333333333,64.99791666666667,317.0
-155.99791666666667,64.99791666666667,299.0
-155.83125,64.99791666666667,260.0
-155.66458333333333,64.99791666666667,377.0
-155.49791666666667,64.99791666666667,467.0
-155.33125,64.99791666666667,204.0
-155.16458333333333,64.99791666666667,294.0
-154.99791666666667,64.99791666666667,559.0
-154.83125,64.99791666666667,525.0
-154.66458333333333,64.99791666666667,211.0
-154.49791666666667,64.99791666666667,192.0
-154.33125,64.99791666666667,172.0
-154.16458333333333,64.99791666666667,64.0
-153.99791666666667,64.99791666666667,52.0
-153.83125,64.99791666666667,53.0
-153.66458333333333,64.99791666666667,67.0
-153.49791666666667,64.99791666666667,123.0
-153.33125,64.99791666666667,160.0
-153.16458333333333,64.99791666666667,164.0
-152.99791666666667,64.99791666666667,184.0
-152.83125,64.99791666666667,203.0
-152.66458333333333,64.99791666666667,183.0
-152.49791666666667,64.99791666666667,220.0
-152.33125,64.99791666666667,190.0
