lon,lat,name,amenity,shop,leisure,dog_type
-0.0942684,51.5983036,Metro Vet,veterinary,,,🩺 Vet
-0.0691125,51.3823639,Croydon Veterinary Surgery,veterinary,,,🩺 Vet
-0.103831,51.3459722,Paws,,pet,,🐾 Pet Shop
-0.0950635,51.3593422,Pet Grooming,,pet,,🐾 Pet Shop
-0.0948598,51.4014589,Veterinary Surgery,veterinary,,,🩺 Vet
-0.1736367,51.3566965,Pets World,,pet,,🐾 Pet Shop
-0.0655924,51.3832411,Goddard Veterinary Group,veterinary,,,🩺 Vet
-0.0984427,51.5598966,Village Vet,veterinary,,,🩺 Vet
-0.0276836,51.3771058,Scallywags Pet Shop & Grooming Centre,,pet,,🐾 Pet Shop
-0.016255,51.3430035,Goddard Veterinary Group,veterinary,,,🩺 Vet
-0.0152448,51.3418893,Burgess Boys,,pet,,🐾 Pet Shop
-0.1314248,51.3717158,Living Waters,,pet,,🐾 Pet Shop
-0.1631683,51.4047927,Mitcham Veterinary Surgery,veterinary,,,🩺 Vet
-0.1672425,51.372237,Purr-fect For Pets,,pet,,🐾 Pet Shop
-0.4776008,51.5484133,Uxbridge Vets,veterinary,,,🩺 Vet
-0.2385788,51.4050107,Pets at Home,,pet,,🐾 Pet Shop
-0.0950736,51.6321352,Village Vet Winchmore Hill,veterinary,,,🩺 Vet
-0.1990421,51.5927801,Village Vet,veterinary,,,🩺 Vet
-0.1695929,51.5324289,Creature Comforts,veterinary,,,🩺 Vet
-0.1688147,51.5346975,Medivet,veterinary,,,🩺 Vet
-0.1851377,51.5372524,Hairy Hounds,,pet,,🐾 Pet Shop
-0.0992747,51.5227078,Medivet,veterinary,,,🩺 Vet
-0.2388224,51.4645549,Mucky Pups Pet Shop,,pet,,🐾 Pet Shop
-0.1672524,51.5141786,Hyde Park Veterinary Centre,veterinary,,,🩺 Vet
-0.1924812,51.5173826,Bayswater Veterinary Clinic,veterinary,,,🩺 Vet
-0.1950231,51.5144564,Pets Naturally,veterinary,,,🩺 Vet
-0.1640785,51.4610352,Pet Pavilion,,pet,,🐾 Pet Shop
